,left_num,right_num,solution,direction,distance,ratio,bucket
0,11,9,11,Left,2,1.22222222222222,1
1,21,17,21,Left,4,1.23529411764706,1
2,12,11,12,Left,1,1.09090909090909,1
3,20,17,20,Left,3,1.1764705882352902,1
4,11,10,11,Left,1,1.1,1
5,16,11,16,Left,5,1.45454545454545,2
6,17,13,17,Left,4,1.3076923076923102,2
7,10,7,10,Left,3,1.42857142857143,2
8,12,9,12,Left,3,1.33333333333333,2
9,17,12,17,Left,5,1.4166666666666698,2
10,21,11,21,Left,10,1.90909090909091,3
11,20,13,20,Left,7,1.53846153846154,3
12,21,13,21,Left,8,1.61538461538462,3
13,16,10,16,Left,6,1.6,3
14,12,6,12,Left,6,2.0,3
15,20,7,20,Left,13,2.85714285714286,4
16,20,5,20,Left,15,4.0,4
17,17,5,17,Left,12,3.4,4
18,21,5,21,Left,16,4.2,4
19,21,6,21,Left,15,3.5,4
20,9,11,11,Right,2,1.22222222222222,1
21,17,21,21,Right,4,1.23529411764706,1
22,11,12,12,Right,1,1.09090909090909,1
23,17,20,20,Right,3,1.1764705882352902,1
24,10,11,11,Right,1,1.1,1
25,11,16,16,Right,5,1.45454545454545,2
26,13,17,17,Right,4,1.3076923076923102,2
27,7,10,10,Right,3,1.42857142857143,2
28,9,12,12,Right,3,1.33333333333333,2
29,12,17,17,Right,5,1.4166666666666698,2
30,11,21,21,Right,10,1.90909090909091,3
31,13,20,20,Right,7,1.53846153846154,3
32,13,21,21,Right,8,1.61538461538462,3
33,10,16,16,Right,6,1.6,3
34,6,12,12,Right,6,2.0,3
35,7,20,20,Right,13,2.85714285714286,4
36,5,20,20,Right,15,4.0,4
37,5,17,17,Right,12,3.4,4
38,5,21,21,Right,16,4.2,4
39,6,21,21,Right,15,3.5,4
